DEPOS_ID,FULL_NAME,STREET,CITY,STATE,ZIP,REP_NUM,
"482","Bank of Oklahoma","215 State St","Muskogee","OK","","22236"
"483","BancFirst","PO Box 26788","Oklahoma City","OK","","20686"
"484","First Caniterl Bank","PO Box 520","Guthrie","OK","73044","6779"
"344","Citizens Bank and Trust","In Muskogee","Muskogee","OK","74402","6795"
"343","Bank of Oklahoma","In Muskogee","Muskogee","OK","74402","6795"
"345","Local Oklahoma Bank","513 NE 12th St","Moore","OK","73160","6796"
"346","United Bank","1875 I St NW","Washington","DC","20008","5988"
"347","The First State Bank","724 E Main Street","Locust Grove","OK","74352","6408"
"348","FirstBank","","","","","8508"
"349","Republican Bank of Norman","401 W Main St","Norman","OK","73069","6428"
"350","Bank of Commerce, Chouteau","PO Box 849","Chouteau","OK","74337","6429"
"351","First Fidelity Bank","Northwest 39th Expwy Branch","Oklahoma City","OK","73122","6430"
"352","Arvest Bank","PO Box 112","Stilwater","OK","","25385"
"353","Central National Bank","PO Box 3408","Enid","OK","","23604"
"354","Wachovia Ban,, National Assn","7103 Hamilton Blvd","Trexlertown","PA","","20832"
"355","Huntington National Park","PO Box 1558","Columbus","OK","","21084"
"357","Merrill Lynch State Bank & Tru","PO Box 8500","Boston","MA","10266-8500","21776"
"356","First Fidelity Bank NA","PO Box 82189","Oklahoma City","OK","","21776"
"358","Bank of America","PO Box 2360","Tulsa","OK","","22339"
"359","First Bank","701 S Mississippi","Atoka","OK","","21867"
"360","Wachovia Bank NA","One W Main St","Somerville","NJ","","26624"
"361","Bank of Oklahoma N.A.","PO Box 24128","Oklahoma City","OK","","21300"
"362","IBC Bank","200 E Broadway","Elk City","OK","","24024"
"363","Watonga State Bank","115 West A St","Watonga","OK","","21481"
"364","Bank of Oklahoma","PO Box 2300","Tulsa","OK","","20884"
"366","Burke & Herbert Bank & Trust C","Jubg & Fairfax Streets","Alexandria","VA","22314","31624"
"365","Comerica Bank","3701 Hamlin Rd","Auburn Hills","MI","","31624"
"367","Comerica Bank","PO Box 75000","Detroit","MI","","21869"
"368","Bank of America","1330 S Cornwell Dr","Yukon","OK","","21870"
"369","Carl Albert State College","Acct 2-90870","Poteau","OK","74953","6476"
"370","BancFirst","PO Box 789","Ardmore","OK","","29685"
"371","Community Bank & Trust","4880 S Lewis Ave","Tulsa","OK","","28424"
"789","Midfirst Bank","501 SW Grand Blvd","Oklahoma City","OK","","29345"
"372","Midfirst Bank","501 SW Grand Blvd","Oklahoma City","OK","","29345"
"373","First State Bank","PO Box 826 111 S Muskogee","Tahlequah","OK","","21089"
"374","Bank of America","211 N Robinson","Oklahoma City","OK","","21706"
"376","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","","21967"
"377","Comerica Bank","PO Box 75000","Detroit","MI","","21968"
"379","First National Bank of Midwest","","","","","25564"
"380","Bank of Oklahoma","","","","","25785"
"125","Spirit Bank","4815 Harvard","Tulsa","OK","74135","7104"
"126","BancFirst","501 C Ave","Lawton","OK","","7150"
"128","American Heritage Bank","PO Box 1408","Sapulpa","OK","74066","19284"
"127","Oklahoma National Bank","615 S Mission","Sapulpa","OK","","19284"
"129","OECU","3020 N Stiles","Oklahoma City","OK","","12982"
"130","Security Bank","PO Box 471316","Tulsa","OK","","7586"
"131","Oklahoma National Bank","8908 S Yale","Tulsa","OK","","7208"
"132","Bank of Oklahoma","7701 S Western Ave","Oklahoma City","OK","","19264"
"134","Citizen's Bank of Edmond","PO Box 30","Edmond","OK","73013-0030","7080"
"135","Midfirst Bank","999 NW Grand Blvd","Oklahoma City","OK","","7186"
"136","Bank of Commerce","PO Box 512","Stilwell","OK","74960","7071"
"137","Citizens bank of Ada","PO Box 1468","Ada","OK","","7184"
"138","Bank of Oklahoma","One Williams Center","Tulsa","OK","74103","43"
"139","Oklahoma State Bank","PO Box 278","Vinita","OK","74301","7100"
"140","Local Oklahoma Bank","100 E Third","Grove","OK","74344","7114"
"141","Commercial Federal Bank","5757 NW Expwy","Oklahoma City","OK","73132","7132"
"142","Arvest Bank","915 S Cornwell","Yukon","OK","","7236"
"143","Stillwater National Bank","","","","","22120"
"144","Arvest Bank","PO Box 55500","Oklahoma City","OK","73155","8891"
"145","Bnk First","PO Box 26788","Oklahoma City","OK","","16082"
"146","Arvest Bank","502 S Main Mall","Tulsa","OK","74103","7112"
"147","First National Bank & Trust","PO Drawer 1130","Chickasha","OK","","7232"
"148","Bank of America","295 E Maint St","Spartanburg","SC","","21176"
"149","Bank of America","PO Box 25118","Tampla","FL","","7228"
"150","Arvest Bank","PO Box 999","Bartlesville","OK","74005","7106"
"151","Bank of America","","Austin","TX","","23644"
"152","Bank One","7401 S Walker","Oklahoma City","OK","73139","7126"
"153","Arvest Bank","Tulsa","Tulsa","OK","74103","7068"
"154","Home National Bank","","","","","19285"
"155","First Fidelity Bank","5563 NW Expwy","Oklahoma City","OK","","7206"
"156","Local Oklahoma Bank","Metro Area","Metro Area","OK","73100","7091"
"157","Local Oklahoma Bank","","","","","7242"
"160","Edward Jones","301 W Will Rogers","Claremore","OK","74017","6830"
"159","RCB Bank","PO Box 189","Claremore","OK","74018","6830"
"161","BancFirst","808 S Main","Stillwater","OK","74074","7120"
"162","First National B ank of Ada","101 E Main St","Ada","OK","","20284"
"163","BancFirst","PO Drawer R","Prague","OK","","7168"
"164","Bank of Oklahoma","PO Box 2300","Tulsa","OK","","7196"
"165","Bank of Oklahoma","PO Box 2300","Tulsa","OK","74192","7048"
"166","Americrest Bank","PO Box 25676","Oklahoma City","OK","73125","7095"
"167","Bank of Oklahoma","215 State St","Muskogee","OK","","7245"
"168","First American Bank","Box 1560","Purcell","OK","","7163"
