TRANSACTION_ID,NATURE,PERC_OWNER,C4R#,
"80159","","",""
"80240","","",""
"80454","","",""
"80455","","",""
"80530","","",""
"80539","","",""
"68309","","",""
"72206","","",""
"147309","CATERING FOR FUNDRAISER","",""
"147310","CATERING FOR FUNDRAISER","",""
"147311","CATERING FOR FUNDRAISER","",""
"147312","FUNDRAISER FACILITY RENTAL","",""
"147313","CATERING FOR FUNDRAISER","",""
"147314","FUNDRAISER FACILITY RENTAL","",""
"148347","NOT GIVEN","",""
"148348","NOT GIVEN","",""
"148823","Food Cost for Fundraiser","",""
"148824","Food Cost for Fundraiser","",""
"148825","Food Cost for Fundraiser","",""
"148826","Food Cost for Fundraiser","",""
"149039","Food","",""
"149429","Check","",""
"149447","Logo for vehicle","",""
"149479","Refreshments for fundraiser","",""
"149750","Campaign Signs and Materials","",""
"149936","Food for Fundraiser","",""
"149960","4 BOTTLES OF WINE","",""
"150444","Printing","",""
"150446","Office Supplies","",""
"150448","Office Supplies","",""
"150454","Photography","",""
"150455","Parade Supplies","",""
"150468","Parade Supplies","",""
"150472","Office Supplies","",""
"150473","Postage","",""
"150476","Office Supplies","",""
"150478","Printing","",""
"150479","Office Supplies","",""
"150480","Event Host Gifts","",""
"150481","Camera","",""
"150482","Event Costs","",""
"150926","Reception Bar","",""
"154440","Payment fo circulation fees","",""
"154441","Payment of circulation fees","",""
"155349","Fund Raising Party","",""
"156125","Used plywood sheets","",""
"156142","In-kind for food, bev, supplies for kickoff event","",""
"156307","In-kind event expense","",""
"156464","Party supplies for fund raising event ","",""
"250831","FUNDRAISING RECEPTION","0",""
"156472","Food for Texas fundraising event in April","",""
"156760","Office space","",""
"156860","Office Supplies","",""
"156861","Food","",""
"156910","Refreshments","",""
"157406","Office space","",""
"157421","Party supplies for fund raising event ","",""
"157423","Party supplies for fund raising event ","",""
"157427","Party supplies for fund raising event ","",""
"157431","Party supplies for fund raising event ","",""
"157434","Party supplies for fund raising event ","",""
"157438","Party supplies for fund raising event ","",""
"157441","Party supplies for fund raising event ","",""
"157629","Printing Supplies","0",""
"157781","Printing Service","",""
"159398","Accounting & office services","",""
"159399","Accounting & office services","",""
"159418","Payment of circulation fees","",""
"159421","Payment of circulation fees","",""
"159423","Payment of circulation fees","",""
"159827","In-kind contrib. for office space","",""
"171696","Copies from Kinkos","",""
"162715","7 NIGHTS AT STEAMBOAT SPRINGS","",""
"160716","Not Given","",""
"160740","Not Given","",""
"160825","Checking account start-up donation","",""
"160828","Ethics Commission start-up","",""
"160885","Music","",""
"160886","Beer","",""
"160887","Postage","",""
"160888","Space - Event","",""
"160889","$50 or less","",""
"161076","Food at Open House","",""
"161078","Food for Open House","",""
"162713","CONTRIBUTIONS OF $50 OR LESS","",""
"162717","QUAIL HUNT FOR 2","",""
"162722","GOLF FOR 4 FLAG PRINT PIG ITEMS 2 TRACTORS PLATE","",""
"162730","4 RANGE ROUNDUP TICKETS","",""
"162732","DINNER FOR 10","",""
"162738","2 NFR TICKETS","",""
"162744","BRACELET & BASKET","",""
"162749","DOWN JOHN","",""
