TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
"220403","Interest","Interest"
"220405","Interest","Interest"
"220571","Refunds","Use of Copy Machine - refund on rent"
"220572","Refunds","Use of Copy Machine"
"220573","Refunds","Refund of copy machine Rental"
"220574","Interest","Bank Credit"
"220575","Interest",""
"220576","Interest",""
"220800","Interest",""
"220802","Interest",""
"221507","Refunds","Refund of campaign contribution"
"221965","Interest","Interest on savings account"
"221968","Interest","Interest on checking account"
"221970","Interest","Interest on checking account"
"221972","Interest","Interest on checking account"
"221980","Refunds","Refund of campaign contribution"
"222207","Interest","Interest Income"
"222208","Interest","Interest Income"
"222209","Interest","Interest Income"
"222348","Interest","APRIL INTEREST "
"222350","Interest","MAY INTEREST "
"222352","Interest","JUNE INTEREST"
"222496","Interest","Interest earned"
"222497","Interest","Interest earned"
"222499","Interest","Interest earned"
"222530","Interest","March"
"222532","Interest","April"
"222536","Interest","May"
"222538","Interest","June"
"222572","Other","CHECK"
"222574","Other","CHECK"
"222575","Other","CHECK"
"222577","Other","CHECK"
"223206","Interest","BANK INTEREST RECEIVED"
"223209","Interest","BANK RECEIVED INTEREST"
"223215","Interest","BANK RECIEVED INTEREST"
"223569","Interest",""
"223571","Interest",""
"223572","Interest",""
"223936","Other","Check"
"224040","Refunds","Check cancelled"
"224115","Interest",""
"224236","Refunds","-"
"224724","Refunds","Filing Fee Refund"
"226576","Interest",""
"226924","Refunds","Refund of  Dinner Expense"
"226925","Refunds","Copier Use"
"226926","Refunds","Use of Copier"
"226927","Interest",""
"226928","Interest",""
"226929","Interest",""
"225037","Interest","Bank Interest"
"225036","Interest","Bank Interest"
"225043","Interest","Bank Interest"
"225042","Interest","Bank Interest"
"225040","Interest","Bank Interest"
"225041","Interest","Bank Interest"
"225044","Interest","Bank Interest"
"225045","Interest","Bank Interest"
"225046","Interest","Bank Interest"
"225130","Other","OTHER RECEIPTS OF $50 OR LESS"
"225153","Other","NONE LISTED"
